,Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
273,Barclay Goodrow,20192020,SJS,L,C,70,8,18,26,-8,97,0.37,8,23,0,2,0,1,0,2,102,7.8,15:55,49.2
274,John Marino,20192020,PIT,R,D,56,6,20,26,17,20,0.46,5,22,1,4,0,0,0,0,61,9.8,20:15,--
275,Ian Cole,20192020,COL,L,D,65,4,22,26,21,36,0.4,4,26,0,0,0,0,0,1,92,4.4,17:42,--
276,Lawson Crouse,20192020,ARI,L,L,66,15,10,25,0,33,0.38,14,24,0,0,1,1,0,3,109,13.8,13:35,51.1
277,Derek Grant,20192020,ANA,L,C,56,15,10,25,1,30,0.45,10,18,2,2,3,5,0,5,94,16,13:55,51.6
278,Lucas Wallmark,20192020,CAR,L,C,67,12,13,25,0,18,0.37,9,18,3,6,0,1,0,0,84,14.3,12:47,50.3
279,Matt Calvert,20192020,COL,L,L,50,12,13,25,13,39,0.5,9,21,0,0,3,4,0,1,89,13.5,14:05,46.2
280,Marcus Foligno,20192020,MIN,L,L,59,11,14,25,8,30,0.42,11,25,0,0,0,0,0,0,86,12.8,14:35,37.5
281,Brandon Tanev,20192020,PIT,L,L,68,11,14,25,-1,16,0.37,9,21,0,1,2,3,2,4,95,11.6,14:45,40
282,Nick Cousins,20192020,MTL,L,C,65,10,15,25,0,35,0.38,7,20,3,5,0,0,0,0,115,8.7,13:31,48
283,Jason Spezza,20192020,TOR,R,C,58,9,16,25,-3,18,0.43,7,18,2,7,0,0,0,0,73,12.3,10:50,54
284,Travis Zajac,20192020,NJD,R,C,69,9,16,25,-12,28,0.36,7,21,1,1,1,3,0,1,72,12.5,17:06,52.8
285,Wayne Simmonds,20192020,NJD,R,R,68,8,17,25,-21,66,0.37,3,16,5,9,0,0,0,1,119,6.7,14:55,39.2
286,Travis Sanheim,20192020,PHI,L,D,69,8,17,25,4,32,0.36,8,21,0,4,0,0,0,0,110,7.3,20:09,--
287,Carl Hagelin,20192020,WSH,L,L,58,8,17,25,12,16,0.43,7,22,0,0,1,3,0,2,107,7.5,14:19,46.4
288,Erik Haula,20192020,CAR,L,L,48,12,12,24,1,22,0.5,8,16,4,8,0,0,0,2,92,13,15:50,54.1
289,Boone Jenner,20192020,CBJ,L,C,70,11,13,24,-14,36,0.34,9,19,2,4,0,1,0,1,179,6.2,18:07,55.2
290,Alex Chiasson,20192020,EDM,R,R,65,11,13,24,-3,42,0.37,5,11,6,13,0,0,1,3,97,11.3,13:07,0
291,Brady Skjei,20192020,NYR,L,D,67,8,16,24,-10,45,0.36,8,22,0,0,0,2,0,1,139,5.8,20:41,--
292,Alex Galchenyuk,20192020,PIT,L,L,59,8,16,24,-5,16,0.41,6,17,2,7,0,0,0,0,86,9.3,12:18,51.2
293,Ondrej Kase,20192020,ANA,R,R,55,7,17,24,-7,14,0.44,6,21,0,2,1,1,0,0,144,4.9,16:33,20.7
294,Matt Dumba,20192020,MIN,R,D,69,6,18,24,-7,41,0.35,5,15,1,8,0,1,1,1,167,3.6,22:30,--
295,Sean Walker,20192020,LAK,R,D,70,5,19,24,-12,26,0.34,5,19,0,5,0,0,0,0,127,3.9,18:50,--
296,Jake Gardiner,20192020,CAR,L,D,68,4,20,24,-24,30,0.35,3,13,1,11,0,0,1,2,87,4.6,16:40,--
297,Filip Chytil,20192020,NYR,L,C,60,14,9,23,-7,10,0.38,13,20,1,3,0,0,0,2,114,12.3,14:50,38.5
298,Jeff Skinner,20192020,BUF,L,L,59,14,9,23,-22,18,0.39,14,20,0,3,0,0,0,1,183,7.7,16:29,37.2
299,Ryan Donato,20192020,MIN,L,C,62,14,9,23,5,12,0.37,14,21,0,2,0,0,0,1,95,14.7,10:38,39.2
300,Oskar Sundqvist,20192020,STL,R,C,57,12,11,23,5,28,0.4,11,21,0,0,1,2,0,1,97,12.4,14:23,44.3
301,Miles Wood,20192020,NJD,L,L,68,11,12,23,-19,57,0.34,11,23,0,0,0,0,0,1,141,7.8,13:14,0
302,Kaapo Kakko,20192020,NYR,L,R,66,10,13,23,-26,14,0.35,8,10,2,13,0,0,1,3,109,9.2,14:17,33.3
303,Conor Sheary,20192020,BUF,L,L,63,10,13,23,-5,10,0.37,9,20,1,3,0,0,0,1,102,9.8,13:06,25
304,Pat Maroon,20192020,TBL,L,L,64,9,14,23,4,71,0.36,8,20,1,3,0,0,0,1,80,11.3,12:25,66.7
305,Vince Dunn,20192020,STL,L,D,71,9,14,23,15,27,0.32,5,13,4,10,0,0,0,1,138,6.5,16:16,--
306,Ilya Mikheyev,20192020,TOR,L,R,39,8,15,23,7,4,0.59,7,22,0,0,1,1,0,1,98,8.2,15:35,75
307,Tyson Jost,20192020,COL,L,C,67,8,15,23,11,22,0.34,7,18,1,5,0,0,0,0,115,7,12:46,33.3
308,Kirby Dach,20192020,CHI,R,C,64,8,15,23,-1,24,0.36,8,20,0,3,0,0,0,2,101,7.9,14:16,33.8
309,Sonny Milano,20192020,CBJ,L,L,55,7,16,23,-7,26,0.42,6,20,1,3,0,0,1,2,75,9.3,13:06,--
310,Colin White,20192020,OTT,R,C,61,7,16,23,-12,39,0.38,6,19,1,4,0,0,0,0,83,8.4,15:42,47.4
311,Sean Kuraly,20192020,BOS,L,C,69,6,17,23,-2,34,0.33,6,21,0,1,0,1,0,0,95,6.3,13:17,48.8
312,Blake Lizotte,20192020,LAK,L,C,65,6,17,23,-4,20,0.35,2,17,2,3,2,3,0,0,87,6.9,13:58,50.2
313,Jake Muzzin,20192020,TOR,L,D,53,6,17,23,12,40,0.43,6,22,0,0,0,1,0,1,99,6.1,21:36,--
314,Sami Vatanen,20192020,NJD,R,D,47,5,18,23,-12,22,0.49,4,12,1,10,0,1,0,0,95,5.3,21:45,--
315,Esa Lindell,20192020,DAL,L,D,69,3,20,23,5,12,0.33,2,13,1,7,0,3,1,2,98,3.1,23:25,--
316,Patrick Marleau,20192020,SJS,L,C,66,11,11,22,-5,14,0.33,10,21,1,1,0,0,1,3,117,9.4,15:35,47.4
317,Richard Panik,20192020,WSH,L,R,59,9,13,22,16,36,0.37,9,22,0,0,0,0,0,1,67,13.4,11:20,57.9
318,Teddy Blueger,20192020,PIT,L,C,69,9,13,22,2,25,0.32,9,20,0,0,0,2,0,2,102,8.8,15:49,45.2
319,Pierre-Edouard Bellemare,20192020,COL,L,C,69,9,13,22,2,17,0.32,7,18,0,0,2,4,0,0,85,10.6,13:25,53
320,Dominik Simon,20192020,PIT,L,C,64,7,15,22,-9,12,0.34,7,21,0,1,0,0,0,0,102,6.9,14:25,35.7
321,Sam Steel,20192020,ANA,L,C,65,6,16,22,-13,20,0.34,5,14,1,8,0,0,1,1,85,7.1,15:33,50.3
322,Vinnie Hinostroza,20192020,ARI,R,C,68,5,17,22,1,14,0.32,5,20,0,1,0,1,0,0,132,3.8,13:06,42.6
323,Alex Wennberg,20192020,CBJ,L,C,57,5,17,22,-5,16,0.39,4,17,1,5,0,0,0,1,72,6.9,16:41,46
324,Rasmus Andersson,20192020,CGY,R,D,70,5,17,22,-7,57,0.31,5,18,0,4,0,0,0,0,124,4,19:56,--
325,Noah Hanifin,20192020,CGY,L,D,70,5,17,22,-12,12,0.31,4,17,1,5,0,0,0,0,132,3.8,21:10,--
326,Marcus Pettersson,20192020,PIT,L,D,69,2,20,22,9,35,0.32,2,20,0,2,0,0,0,0,79,2.5,19:24,--
327,Hampus Lindholm,20192020,ANA,L,D,55,2,20,22,-10,34,0.4,1,12,1,8,0,2,0,1,109,1.8,23:04,--
328,Josh Archibald,20192020,EDM,R,R,62,12,9,21,-8,12,0.34,10,18,0,0,2,3,1,3,64,18.8,13:14,0
329,Ben Chiarot,20192020,MTL,L,D,69,9,12,21,5,61,0.3,9,21,0,0,0,0,2,3,130,6.9,23:08,--
330,Jason Dickinson,20192020,DAL,L,C,65,9,12,21,7,6,0.32,9,20,0,0,0,1,0,1,85,10.6,14:59,43.9
331,Nick Ritchie,20192020,ANA,L,L,48,9,12,21,1,97,0.44,7,18,2,3,0,0,0,2,78,11.5,14:09,12.5
332,Matt Nieto,20192020,COL,L,L,70,8,13,21,7,6,0.3,6,19,0,0,2,2,0,3,85,9.4,13:30,40
333,Joel Farabee,20192020,PHI,L,L,52,8,13,21,6,39,0.4,7,19,1,2,0,0,0,1,81,9.9,14:06,30
334,Andreas Johnsson,20192020,TOR,L,L,43,8,13,21,0,14,0.49,4,16,4,5,0,0,0,1,78,10.3,15:45,0
335,Jack Hughes,20192020,NJD,L,C,61,7,14,21,-26,10,0.34,3,12,4,9,0,0,1,2,123,5.7,15:52,36.2
336,Mattias Janmark,20192020,DAL,L,C,62,6,15,21,-5,12,0.34,4,14,1,5,1,2,0,0,86,7,14:37,43.5
337,Valtteri Filppula,20192020,DET,L,C,70,6,15,21,-42,24,0.3,4,15,1,5,1,1,0,0,63,9.5,16:37,44.9
338,Tyler Myers,20192020,VAN,R,D,68,6,15,21,-7,49,0.31,4,13,1,7,1,1,0,1,134,4.5,21:30,--
339,Corey Perry,20192020,DAL,R,R,57,5,16,21,-2,70,0.37,4,14,1,7,0,0,0,0,77,6.5,13:43,40
340,Ethan Bear,20192020,EDM,R,D,71,5,16,21,-4,33,0.3,4,19,1,2,0,0,0,1,99,5.1,21:58,--
341,Mikko Koivu,20192020,MIN,L,C,55,4,17,21,2,28,0.38,3,13,1,7,0,1,0,0,74,5.4,15:34,53.1
342,Will Butcher,20192020,NJD,L,D,56,4,17,21,-8,6,0.38,4,20,0,1,0,0,0,1,62,6.5,17:55,--
343,Matt Grzelcyk,20192020,BOS,L,D,68,4,17,21,15,34,0.31,3,13,1,7,0,1,0,1,112,3.6,18:04,--
344,Nick Leddy,20192020,NYI,L,D,60,3,18,21,-1,14,0.35,2,17,1,4,0,0,0,0,72,4.2,21:07,--
345,Artem Anisimov,20192020,OTT,L,C,49,15,5,20,-15,8,0.41,10,14,5,6,0,0,1,1,87,17.2,13:51,50
346,Radek Faksa,20192020,DAL,L,C,66,11,9,20,-6,42,0.3,8,17,3,3,0,0,0,3,109,10.1,15:53,49.9
347,Emil Bemstrom,20192020,CBJ,R,C,56,10,10,20,-10,8,0.36,5,12,5,8,0,0,1,4,97,10.3,12:16,30.8
348,Jimmy Vesey,20192020,BUF,L,L,64,9,11,20,12,15,0.31,8,18,0,1,1,1,0,2,93,9.7,13:48,0
349,Ryan Hartman,20192020,MIN,R,R,69,9,11,20,4,69,0.29,8,19,1,1,0,0,0,1,114,7.9,12:15,54.6
350,Nick Paul,20192020,OTT,L,L,56,9,11,20,0,24,0.36,9,19,0,1,0,0,0,2,103,8.7,14:27,51.2
351,Michael Raffl,20192020,PHI,L,L,58,8,12,20,-2,14,0.34,7,18,0,1,1,1,0,2,66,12.1,12:22,50.3
352,Tyler Pitlick,20192020,PHI,R,C,63,8,12,20,11,12,0.32,8,20,0,0,0,0,0,1,76,10.5,12:03,27.8
353,Mike Matheson,20192020,FLA,L,D,59,8,12,20,-1,14,0.34,7,18,1,2,0,0,0,1,104,7.7,18:02,--
354,Milan Lucic,20192020,CGY,L,L,68,8,12,20,-6,54,0.29,3,12,5,8,0,0,0,1,83,9.6,13:20,43.5
355,Joel Edmundson,20192020,CAR,L,D,68,7,13,20,7,72,0.29,7,20,0,0,0,0,0,0,97,7.2,18:27,--
356,Christopher Tanev,20192020,VAN,R,D,69,2,18,20,4,41,0.29,2,18,0,1,0,1,1,1,45,4.4,19:32,--
357,Zemgus Girgensons,20192020,BUF,L,C,69,12,7,19,-1,10,0.28,11,18,0,0,1,1,0,1,85,14.1,13:48,41.1
358,Brett Howden,20192020,NYR,L,C,70,9,10,19,-11,28,0.27,8,15,1,2,0,2,0,2,64,14.1,13:09,48.2
359,Anders Bjork,20192020,BOS,L,L,58,9,10,19,5,10,0.33,8,18,1,1,0,0,0,0,66,13.6,12:56,33.3
360,Kyle Okposo,20192020,BUF,R,R,52,9,10,19,-3,28,0.37,8,18,1,1,0,0,0,2,82,11,12:51,53.5
361,Brad Hunt,20192020,MIN,L,D,59,8,11,19,-7,6,0.32,5,9,3,10,0,0,0,0,106,7.6,15:08,--
362,Carter Rowney,20192020,ANA,R,C,71,8,11,19,5,14,0.27,6,15,0,0,2,4,0,1,63,12.7,12:49,45.6
363,Josh Leivo,20192020,VAN,R,L,36,7,12,19,0,4,0.53,7,14,0,5,0,0,0,0,69,10.1,15:01,58.8
364,William Carrier,20192020,VGK,L,L,71,7,12,19,0,39,0.27,7,19,0,0,0,0,0,1,99,7.1,9:52,64.3
365,Connor Murphy,20192020,CHI,R,D,58,5,14,19,2,27,0.33,5,18,0,0,0,1,0,0,117,4.3,21:15,--
366,Anton Stralman,20192020,FLA,R,D,69,5,14,19,-6,14,0.28,5,18,0,0,0,1,0,3,89,5.6,21:04,--
367,TJ Brodie,20192020,CGY,L,D,64,4,15,19,7,36,0.3,4,18,0,1,0,0,1,1,65,6.2,20:27,--
368,Brandon Carlo,20192020,BOS,R,D,67,4,15,19,16,33,0.28,4,19,0,0,0,0,0,0,111,3.6,20:29,--
369,Justin Braun,20192020,PHI,R,D,62,3,16,19,-2,18,0.31,3,18,0,1,0,0,0,0,70,4.3,17:16,--
370,Oskar Lindblom,20192020,PHI,L,L,30,11,7,18,4,4,0.6,8,14,3,4,0,0,0,0,72,15.3,17:37,40.6
371,Mark Pysyk,20192020,FLA,R,D,58,9,9,18,4,20,0.31,9,18,0,0,0,0,0,1,64,14.1,12:45,50
372,MacKenzie Weegar,20192020,FLA,R,D,45,7,11,18,6,33,0.4,7,18,0,0,0,0,0,1,77,9.1,20:07,--
373,Cedric Paquette,20192020,TBL,L,C,61,7,11,18,-1,42,0.3,6,16,0,0,1,2,0,0,78,9,13:03,50.9
374,P.K. Subban,20192020,NJD,R,D,68,7,11,18,-21,79,0.26,5,12,2,6,0,0,0,3,151,4.6,22:07,--
375,Mark Borowiecki,20192020,OTT,L,D,53,7,11,18,1,58,0.34,6,17,0,0,1,1,0,0,63,11.1,17:56,--
376,Marcus Sorensen,20192020,SJS,L,L,66,7,11,18,-12,26,0.27,6,17,0,0,1,1,0,0,78,9,13:51,15
377,Johan Larsson,20192020,BUF,L,C,62,6,12,18,8,26,0.29,6,18,0,0,0,0,0,0,60,10,14:54,48.2
378,Brendan Lemieux,20192020,NYR,L,L,59,6,12,18,-14,111,0.31,3,11,2,5,1,2,0,0,86,7,12:52,36.7
379,Vladislav Gavrikov,20192020,CBJ,L,D,69,5,13,18,1,18,0.26,5,18,0,0,0,0,0,1,81,6.2,18:59,--
380,Brandon Montour,20192020,BUF,R,D,54,5,13,18,13,28,0.33,5,16,0,2,0,0,0,0,86,5.8,19:30,--
381,Matt Roy,20192020,LAK,R,D,70,4,14,18,16,10,0.26,4,17,0,1,0,0,0,0,112,3.6,18:07,--
382,Brett Pesce,20192020,CAR,R,D,61,4,14,18,7,27,0.3,4,16,0,0,0,2,0,0,104,3.9,21:53,--
383,Michal Kempny,20192020,WSH,L,D,58,3,15,18,19,22,0.31,3,18,0,0,0,0,0,0,73,4.1,18:38,--
384,Justin Holl,20192020,TOR,R,D,68,2,16,18,13,43,0.26,2,18,0,0,0,0,0,0,89,2.3,18:31,--
385,Alex Tuch,20192020,VGK,R,R,42,8,9,17,-10,8,0.4,5,10,3,7,0,0,0,2,98,8.2,14:37,28.6
386,Brandon Sutter,20192020,VAN,R,C,44,8,9,17,1,25,0.39,7,14,1,3,0,0,0,0,76,10.5,14:51,48.9
387,Alexander Steen,20192020,STL,L,L,55,7,10,17,7,12,0.31,7,16,0,1,0,0,0,0,71,9.9,14:02,53.3
388,Brock McGinn,20192020,CAR,L,L,68,7,10,17,-4,17,0.25,5,15,0,0,2,2,0,1,93,7.5,13:12,38.5
389,Kyle Clifford,20192020,LAK,L,L,69,7,10,17,-7,68,0.25,7,17,0,0,0,0,0,0,110,6.4,11:11,60
390,Troy Stecher,20192020,VAN,R,D,69,5,12,17,10,32,0.25,5,17,0,0,0,0,0,0,86,5.8,15:21,--
391,Olli Maatta,20192020,CHI,L,D,65,4,13,17,0,20,0.26,4,15,0,0,0,2,0,0,80,5,18:25,--
392,Madison Bowey,20192020,DET,R,D,53,3,14,17,-16,34,0.32,3,16,0,1,0,0,0,0,70,4.3,17:54,--
393,Garnet Hathaway,20192020,WSH,R,R,66,9,7,16,6,79,0.24,9,15,0,0,0,1,0,1,80,11.3,10:47,31
394,Darren Helm,20192020,DET,L,L,68,9,7,16,-6,37,0.24,8,14,0,0,1,2,0,0,102,8.8,13:44,53.6
395,Blake Comeau,20192020,DAL,R,L,55,8,8,16,-6,36,0.29,7,14,0,0,1,2,0,2,74,10.8,14:56,43.8
396,David Kampf,20192020,CHI,L,C,70,8,8,16,-11,8,0.23,7,15,0,0,1,1,0,2,90,8.9,13:40,52.3
397,Michael Amadio,20192020,LAK,R,C,68,6,10,16,-11,10,0.24,6,13,0,3,0,0,0,0,99,6.1,13:01,48.3
398,Dillon Dube,20192020,CGY,L,C,45,6,10,16,0,6,0.36,5,14,1,2,0,0,0,2,60,10,12:41,0
399,Colton Sceviour,20192020,FLA,R,C,69,6,10,16,2,6,0.23,6,16,0,0,0,0,0,0,114,5.3,13:15,43.9
400,Justin Faulk,20192020,STL,R,D,69,5,11,16,-3,32,0.23,4,12,1,3,0,1,0,1,147,3.4,20:34,--
401,Philippe Myers,20192020,PHI,R,D,50,4,12,16,17,30,0.32,4,16,0,0,0,0,0,0,78,5.1,17:06,--
402,Tucker Poolman,20192020,WPG,R,D,57,4,12,16,-1,24,0.28,3,15,0,0,1,1,0,1,64,6.3,17:27,--
403,Ben Hutton,20192020,LAK,L,D,65,4,12,16,5,14,0.25,4,16,0,0,0,0,0,1,114,3.5,18:16,--
404,Erik Johnson,20192020,COL,R,D,59,3,13,16,9,20,0.27,3,16,0,0,0,0,0,1,99,3,21:03,--
405,Alec Martinez,20192020,LAK,L,D,51,3,13,16,-4,23,0.31,3,12,0,4,0,0,0,0,75,4,21:30,--
406,Mike Reilly,20192020,MTL,L,D,44,1,15,16,-6,24,0.36,0,6,1,9,0,1,0,1,85,1.2,18:01,--
407,Drake Caggiula,20192020,CHI,L,C,40,9,6,15,-3,32,0.38,8,13,1,1,0,1,0,0,56,16.1,11:49,28.6
408,Colton Sissons,20192020,NSH,R,C,57,9,6,15,-2,20,0.26,8,14,0,0,1,1,0,2,52,17.3,14:20,51.3
409,Jordan Weal,20192020,MTL,R,C,49,8,7,15,-8,14,0.31,6,10,2,5,0,0,0,2,86,9.3,13:37,49.7
410,Ryan Reaves,20192020,VGK,R,R,71,8,7,15,-5,47,0.21,8,15,0,0,0,0,0,1,61,13.1,10:09,46.2
411,Pierre Engvall,20192020,TOR,L,L,48,8,7,15,4,6,0.31,7,13,0,0,1,2,0,3,72,11.1,11:56,39.1
412,Filip Zadina,20192020,DET,L,R,28,8,7,15,-13,2,0.54,4,8,4,7,0,0,0,1,60,13.3,15:10,100
413,Tomas Nosek,20192020,VGK,L,L,67,8,7,15,-2,20,0.22,7,14,0,0,1,1,0,1,93,8.6,11:36,50.1
414,Riley Sheahan,20192020,EDM,L,C,66,8,7,15,-13,6,0.23,7,13,0,0,1,2,0,1,70,11.4,12:48,49
415,Jonathan Drouin,20192020,MTL,L,L,27,7,8,15,-6,14,0.56,6,11,1,4,0,0,0,1,51,13.7,15:42,33.3
416,Nic Dowd,20192020,WSH,R,C,56,7,8,15,11,28,0.27,4,12,0,0,3,3,0,1,52,13.5,10:50,49.7
417,Mathieu Perreault,20192020,WPG,L,L,49,7,8,15,-9,10,0.31,5,13,2,2,0,0,0,0,71,9.9,13:06,68.4
418,Nicolas Aube-Kubel,20192020,PHI,R,R,36,7,8,15,1,19,0.42,5,12,2,3,0,0,0,1,48,14.6,11:17,33.3
419,Brian Boyle,20192020,FLA,L,C,39,6,9,15,-5,17,0.38,5,14,1,1,0,0,0,1,56,10.7,12:23,52.4
420,Cody Eakin,20192020,VGK,L,C,49,5,10,15,-3,16,0.31,5,14,0,1,0,0,0,1,61,8.2,14:35,48.5
421,Marc-Edouard Vlasic,20192020,SJS,L,D,70,5,10,15,-10,10,0.21,4,14,0,0,1,1,0,1,74,6.8,20:18,--
422,Henri Jokiharju,20192020,BUF,R,D,69,4,11,15,-6,32,0.22,3,13,1,2,0,0,0,0,78,5.1,17:13,--
423,Nate Thompson,20192020,MTL,L,C,70,4,11,15,-1,30,0.21,4,14,0,0,0,1,0,1,67,6,12:47,55
424,Troy Terry,20192020,ANA,R,R,47,4,11,15,-5,6,0.32,4,13,0,2,0,0,0,0,73,5.5,14:31,37.5
425,Ryan Carpenter,20192020,CHI,R,C,69,3,12,15,-6,28,0.22,2,12,0,0,1,3,0,0,80,3.8,14:04,43.1
426,Michael Del Zotto,20192020,ANA,L,D,49,2,13,15,5,14,0.31,2,14,0,1,0,0,0,0,57,3.5,18:43,--
427,Radko Gudas,20192020,WSH,R,D,63,2,13,15,15,40,0.24,2,15,0,0,0,0,0,1,90,2.2,16:44,--
428,Casey Cizikas,20192020,NYI,L,C,48,10,4,14,12,41,0.29,7,9,0,0,3,5,0,1,67,14.9,14:18,53.5
429,Carson Soucy,20192020,MIN,L,D,55,7,7,14,16,18,0.25,6,13,0,0,1,1,0,1,61,11.5,15:38,--
430,Austin Watson,20192020,NSH,R,L,53,6,8,14,-9,65,0.26,6,12,0,0,0,2,0,1,50,12,11:37,50
431,Michael Frolik,20192020,CGY,L,R,57,6,8,14,-12,28,0.25,4,11,0,0,2,3,0,1,70,8.6,12:26,28.6
432,Nick Holden,20192020,VGK,L,D,61,6,8,14,-1,13,0.23,5,12,1,1,0,1,0,0,101,5.9,18:51,--
433,Riley Nash,20192020,CBJ,R,C,64,5,9,14,6,10,0.22,4,13,0,0,1,1,0,1,64,7.8,11:51,47.9
434,Zdeno Chara,20192020,BOS,L,D,68,5,9,14,26,60,0.21,5,14,0,0,0,0,0,2,86,5.8,21:01,--
435,Nikolai Prokhorkin,20192020,LAK,L,L,43,4,10,14,-6,6,0.33,4,11,0,3,0,0,0,1,63,6.4,12:06,47.6
436,Leo Komarov,20192020,NYI,L,R,48,4,10,14,2,10,0.29,4,13,0,0,0,1,0,1,46,8.7,12:36,39.5
437,Haydn Fleury,20192020,CAR,L,D,45,4,10,14,-2,8,0.31,4,13,0,0,0,1,0,0,65,6.2,13:40,--
438,Andrew Cogliano,20192020,DAL,L,C,68,3,11,14,2,30,0.21,3,14,0,0,0,0,0,0,68,4.4,12:28,46
439,Andy Greene,20192020,NJD,L,D,63,2,12,14,1,16,0.22,2,11,0,1,0,2,0,0,60,3.3,19:33,--
440,Brenden Dillon,20192020,SJS,L,D,69,1,13,14,-2,104,0.2,1,13,0,0,0,1,0,0,58,1.7,19:27,--
441,Ryan Lindgren,20192020,NYR,L,D,60,1,13,14,16,47,0.23,1,14,0,0,0,0,0,0,47,2.1,16:34,--
442,Carter Verhaeghe,20192020,TBL,L,C,52,9,4,13,-9,8,0.25,8,12,1,1,0,0,0,1,57,15.8,9:22,45.2
443,Nicolas Deslauriers,20192020,ANA,L,L,59,7,6,13,-1,92,0.22,7,13,0,0,0,0,0,1,64,10.9,9:47,--
444,Antoine Roussel,20192020,VAN,L,L,41,7,6,13,0,43,0.32,6,11,1,2,0,0,0,1,55,12.7,11:50,50
445,Sammy Blais,20192020,STL,L,L,40,6,7,13,-2,20,0.33,6,13,0,0,0,0,0,1,56,10.7,12:35,--
446,Sam Gagner,20192020,EDM,R,C,42,6,7,13,-10,12,0.31,4,10,2,3,0,0,0,0,79,7.6,13:21,44.1
447,Zach Aston-Reese,20192020,PIT,L,C,57,6,7,13,6,28,0.23,5,12,0,0,1,1,0,0,98,6.1,14:25,30.4
448,Loui Eriksson,20192020,VAN,L,L,49,6,7,13,-2,12,0.27,6,13,0,0,0,0,0,0,59,10.2,12:22,100
449,Sam Lafferty,20192020,PIT,R,C,50,6,7,13,5,23,0.26,6,13,0,0,0,0,0,1,56,10.7,9:37,49.6
450,Alexandre Texier,20192020,CBJ,L,C,36,6,7,13,3,10,0.36,6,12,0,1,0,0,1,1,49,12.2,12:45,36.5
451,Victor Rask,20192020,MIN,L,C,43,5,8,13,7,6,0.3,5,13,0,0,0,0,0,2,38,13.2,10:29,44.1
452,Scott Mayfield,20192020,NYI,R,D,67,5,8,13,8,53,0.19,5,11,0,0,0,2,0,1,98,5.1,19:57,--
453,Adam Boqvist,20192020,CHI,R,D,41,4,9,13,-3,6,0.32,4,11,0,2,0,0,0,1,50,8,16:13,--
454,Nikita Zadorov,20192020,COL,L,D,64,4,9,13,6,65,0.2,4,13,0,0,0,0,0,0,65,6.2,17:46,--
455,Marco Scandella,20192020,BUF,L,D,62,4,9,13,14,20,0.21,4,13,0,0,0,0,0,0,77,5.2,17:35,--
456,Robert Hagg,20192020,PHI,L,D,49,3,10,13,14,30,0.27,2,12,1,1,0,0,0,0,38,7.9,15:36,--
457,Jordan Oesterle,20192020,ARI,L,D,58,3,10,13,-9,14,0.22,3,11,0,2,0,0,0,0,69,4.4,17:01,--
458,Jake McCabe,20192020,BUF,L,D,66,3,10,13,-11,41,0.2,2,12,0,0,1,1,0,1,75,4,18:32,--
459,Jordan Martinook,20192020,CAR,L,L,45,2,11,13,-2,22,0.29,2,11,0,0,0,2,0,1,44,4.6,11:16,51.6
460,Max Jones,20192020,ANA,L,L,59,8,4,12,-6,36,0.2,7,10,0,1,1,1,0,0,102,7.8,14:16,40.7
461,Sam Bennett,20192020,CGY,L,C,52,8,4,12,-1,36,0.23,8,11,0,1,0,0,0,0,82,9.8,12:31,51.7
462,Eric Robinson,20192020,CBJ,L,L,50,7,5,12,10,12,0.24,7,12,0,0,0,0,0,3,69,10.1,10:57,36.4
463,Frederik Gauthier,20192020,TOR,L,C,61,7,5,12,-4,10,0.2,7,12,0,0,0,0,0,0,42,16.7,9:23,54.7
464,Melker Karlsson,20192020,SJS,R,C,61,6,6,12,-7,20,0.2,6,12,0,0,0,0,0,0,56,10.7,12:16,45.2
465,Trevor Lewis,20192020,LAK,R,C,56,6,6,12,-7,16,0.21,6,12,0,0,0,0,0,1,92,6.5,11:54,38.8
466,Devin Shore,20192020,ANA,L,C,45,5,7,12,-10,8,0.27,5,10,0,2,0,0,0,1,50,10,11:39,47
467,Erik Cernak,20192020,TBL,R,D,67,5,7,12,11,59,0.18,5,12,0,0,0,0,0,1,125,4,18:57,--
468,Shayne Gostisbehere,20192020,PHI,L,D,42,5,7,12,-4,20,0.29,4,7,1,5,0,0,0,1,73,6.9,18:18,--
469,Cody Glass,20192020,VGK,R,C,39,5,7,12,-7,6,0.31,4,6,1,6,0,0,0,1,51,9.8,13:22,42
470,Denis Malgin,20192020,FLA,R,C,44,4,8,12,-9,14,0.27,3,10,1,1,0,1,0,0,50,8,11:59,39.9
471,Justin Schultz,20192020,PIT,R,D,46,3,9,12,-13,6,0.26,3,6,0,6,0,0,0,0,86,3.5,19:52,--
472,Travis Hamonic,20192020,CGY,R,D,50,3,9,12,-3,27,0.24,3,12,0,0,0,0,0,0,83,3.6,21:12,--
473,Nikita Zaitsev,20192020,OTT,R,D,58,1,11,12,-8,22,0.21,1,12,0,0,0,0,0,0,64,1.6,22:09,--
474,Ron Hainsey,20192020,OTT,L,D,64,1,11,12,10,12,0.19,1,9,0,0,0,3,0,1,43,2.3,20:41,--
475,Ryan McDonagh,20192020,TBL,L,D,50,1,11,12,7,19,0.24,1,11,0,0,0,1,0,0,50,2,20:42,--
476,Michael Grabner,20192020,ARI,L,L,46,8,3,11,-4,6,0.24,7,10,0,0,1,1,0,0,61,13.1,12:22,0
