,Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
115,Connor Brown,20192020,OTT,R,R,71,16,27,43,-6,24,0.61,13,37,3,4,0,2,0,1,173,9.3,20:07,42.7
116,Josh Bailey,20192020,NYI,L,R,68,14,29,43,-12,10,0.63,11,33,2,9,1,1,0,2,94,14.9,16:54,50
117,David Krejci,20192020,BOS,R,C,61,13,30,43,14,23,0.7,10,29,3,14,0,0,1,3,83,15.7,17:10,50.3
118,Jean-Gabriel Pageau,20192020,OTT,R,C,67,26,16,42,4,49,0.63,18,26,5,10,3,6,1,5,151,17.2,19:09,53.5
119,Victor Olofsson,20192020,BUF,L,L,54,20,22,42,-1,6,0.78,9,25,11,17,0,0,1,4,127,15.8,18:23,50
120,Rickard Rakell,20192020,ANA,R,L,65,15,27,42,-5,12,0.65,12,30,3,9,0,3,1,2,186,8.1,18:10,76.9
121,Gustav Nyquist,20192020,CBJ,L,C,70,15,27,42,4,16,0.6,11,32,3,9,1,1,1,3,151,9.9,18:02,51.5
122,Matt Duchene,20192020,NSH,L,C,66,13,29,42,-4,24,0.64,8,31,5,11,0,0,0,1,136,9.6,16:53,56.1
123,Ryan Getzlaf,20192020,ANA,R,C,69,13,29,42,-16,58,0.61,10,33,3,9,0,0,1,5,143,9.1,18:44,51.3
124,Robert Thomas,20192020,STL,R,C,66,10,32,42,9,18,0.64,9,35,1,7,0,0,0,2,87,11.5,14:34,42.9
125,Adam Fox,20192020,NYR,R,D,70,8,34,42,22,32,0.6,7,29,1,13,0,0,0,4,125,6.4,18:54,--
126,Kevin Hayes,20192020,PHI,L,C,69,23,18,41,-6,34,0.59,15,30,4,7,4,4,2,5,175,13.1,17:44,50.2
127,Jason Zucker,20192020,MIN,L,L,60,20,21,41,-4,21,0.68,13,29,7,12,0,0,0,4,111,18,16:20,29.3
128,Zach Werenski,20192020,CBJ,L,D,63,20,21,41,9,10,0.65,14,27,5,13,1,1,2,4,187,10.7,23:59,--
129,Mikko Rantanen,20192020,COL,L,R,42,19,22,41,-2,14,0.98,11,27,8,14,0,0,0,5,107,17.8,18:57,58.7
130,Ondrej Palat,20192020,TBL,L,L,69,17,24,41,25,22,0.59,12,32,4,8,1,1,0,2,128,13.3,16:11,33.3
