,PLAYER,POS,AVG
192,Nikolaj Ehlers,W,177.3
193,Henrik Lundqvist,G,136.7
194,Alex Tuch,W,202.4
195,Jonathan Drouin,W,203
196,Pavel Francouz,G,138.3
197,Corey Crawford,G,179.3
198,Mats Zuccarello,W,180.3
199,Kaapo Kakko,W,180.3
200,Erik Gustafsson,D,183
201,Mikhail Sergachev,D,181.5
202,Vincent Trocheck,C,182.5
203,Ondrej Palat,W,183.3
204,Aaron Ekblad,D,185.5
205,Colton Parayko,D,186.8
206,P.K. Subban,D,149.7
207,Juuse Saros,G,187.5
208,Dustin Brown,W,210.2
209,Denis Gurianov,W,150.7
210,Ryan Suter,D,189
211,Nikita Gusev,W,189
212,Nino Niederreiter,W,189.3
213,Adam Fox,D,189.3
214,Ryan Dzingel,W,190
215,Nicholas Suzuki,C,158.7
216,Thatcher Demko,G,158.7
217,Patric Hornqvist,W,194.5
218,Oliver Bjorkstrand,W,162.7
219,Jordan Staal,C,197.8
220,Ilya Sorokin,G,164.7
221,Ryan Strome,W,166
222,Jason Zucker,W,199.8
223,Ryan Pulock,D,200
224,Carter Hutton,G,200.3
225,Cory Schneider,G,223.8
226,Andreas Johnsson,W,201.5
227,Tyler Bertuzzi,W,202.8
228,Mike Smith,G,171
229,Mikael Backlund,C,224.2
230,Gustav Nyquist,W,206.8
231,Carter Verhaeghe,NA,229
232,Jesper Bratt,W,208.5
233,Cody Glass,C,228.2
234,Erik Gustafsson,D,181.7
235,Jordan Eberle,W,229.2
236,Kevin Labanc,W,211.5
237,Erik Haula,C,215.5
238,Tyler Toffoli,C,188
239,Dmytro Timashov,W,217
240,Ondrej Kase,W,217
241,Roope Hintz,W,219
242,Cam Talbot,G,219.5
243,Mackenzie Blackwood,G,220.5
244,Zach Hyman,C,237.2
245,Jimmy Howard,G,225.5
246,Shayne Gostisbehere,D,206
247,Joe Thornton,C,225.5
248,Anthony Cirelli,C,225.8
249,Jakob Silfverberg,W,225.8
250,Nate Schmidt,D,202.7
251,Kasperi Kapanen,W,227.5
252,Phillip Danault,C,228.3
253,Jaccob Slavin,D,204.3
254,Mattias Ekholm,D,230.5
255,Alexandar Georgiev,G,230.8
256,Anthony Beauvillier,W,208.3
257,Jonathan Quick,G,232.5
258,Manuel Wiederer,C,234.5
259,Josh Morrissey,D,235.5
260,Alex Chiasson,W,236
261,Nick Ritchie,W,236
262,Samuel Girard,D,236
263,Richard Panik,W,237.8
264,Brandon Saad,W,219
265,Jesse Puljujarvi,W,220
266,Travis Zajac,C,241.5
267,Filip Hronek,D,240.5
268,Antti Raanta,G,227
269,Mikko Koskinen,G,223
270,Ryan Poehling,W,244.8
271,Jared Spurgeon,D,245.5
272,Yanni Gourde,W,246.5
273,Joel Kiviranta,W,228.7
274,Nicholas Robertson,W,231.3
275,Craig Anderson,G,231.7
276,Nick Shore,C,198.5
277,Jean-Gabriel Pageau,C,233.7
278,Devon Toews,D,252.5
279,Micheal Ferland,W,254
280,Tyler Johnson,W,255.8
281,Quinton Byfield,C,240.3
282,Tim Stutzle,C,241
283,Colin Campbell,W,260.8
284,Duncan Keith,D,256.8
285,Kevin Shattenkirk,D,244
286,Alexander Nylander,W,216.5
287,Blake Coleman,W,272.8
288,Vince Dunn,D,248
289,Nick Schmaltz,C,249.3
290,Martin Necas,C,249.3
291,Boone Jenner,C,249.7
292,Mikko Koivu,C,265.8
293,Justin Schultz,D,251.3
294,Oscar Klefbom,D,283.7
295,Alec Martinez,D,228.5
296,Erik Foley,W,253
297,Thomas Greiss,G,268.3
298,Craig Smith,W,230
299,Jake Allen,G,235
300,Cory Conacher,W,257.3
301,Joel Armia,W,237.5
302,James Reimer,G,240
303,Erik Cernak,D,267.3
304,Jakob Chychrun,D,242.5
305,Alex Iafallo,C,245
306,Derek Stepan,C,264.3
307,Linus Ullmark,G,246.5
308,Alexander Killorn,C,251
309,Matt Grzelcyk,D,251
310,Dominik Kahun,C,253.5
311,Andrew Mangiapane,W,255.5
312,Trevor Zegras,C,260
313,Justin Faulk,D,263.5
314,Radko Gudas,D,273.5
315,Ryan Graves,D,265
316,Curtis McElhinney,G,312
317,Anthony Duclair,W,295
318,Joel Farabee,W,291
319,Malcolm Subban,G,235
320,Ville Heinola,D,286.5
321,Marcus Johansson,W,270
322,Alex Turcotte,C,244
323,Calvin Petersen,G,272.5
324,Grigori Denisenko,W,245
325,Kaapo Kahkonen,G,246
326,Marco Rossi,C,308.5
327,Mike Green,D,285.5
328,Drake Batherson,C,274
329,Rasmus Sandin,D,281
330,Alexandre Texier,C,276
331,Tanner Pearson,W,252
332,Brandon Montour,D,256
333,Colin Miller,D,257
334,Colin White,C,283.5
335,Barrett Hayton,C,259
336,Gabriel Vilardi,C,260
337,Ryan Donato,W,282.5
338,Frank Vatrano,W,287
339,Jake Gardiner,D,329.5
340,Maxime Comtois,W,320.5
341,Filip Zadina,W,271
342,Jack Roslovic,C,292.5
343,Cam Fowler,D,304
344,Zack Kassian,W,273
345,Adam Henrique,C,275
346,Jeff Carter,C,297.5
347,Jordan Weal,C,300
348,Vitali Kravtsov,W,303
349,Ryan McDonagh,D,329
350,Alexander True,C,303
351,Alex Goligoski,D,284
352,Keith Kinkaid,G,285
353,Jesperi Kotkaniemi,C,306.5
354,Owen Tippett,W,286
355,Christian Dvorak,C,287
356,Chris McCarthy,C,289
357,Wayne Simmonds,W,343
358,Esa Lindell,D,291
359,Alex Stalock,G,292
360,Buddy Robinson,W,292
361,Kirby Dach,C,317.5
362,T.J. Brodie,D,293
363,Nick Bjugstad,C,294
364,Travis Sanheim,D,295
365,Sam Steel,C,295
366,Mathieu Perreault,C,348
367,Josh Norris,C,299
368,Charlie Coyle,C,319
369,Liam Foudy,C,329
370,Martin Kaut,W,330
371,Evan Bouchard,D,331
372,Connor McMichael,C,332
373,Ty Smith,D,333
374,Alexander Volkov,W,334
375,Bowen Byram,D,337
376,Jake Bean,D,339
377,Alexander Romanov,D,340
378,Morgan Frost,C,341
379,James Neal,W,343
380,Dylan Cozens,C,344
381,Erik Brannstrom,D,348
382,Oliver Wahlstrom,C,349
383,Adam Gaudette,W,350
384,Tyler Benson,W,351
385,Robby Fabbri,C,352
386,Damon Severson,D,353
387,Zach Sanford,C,354
388,Jack Studnicka,C,355
389,Filip Chytil,W,356
390,Tyler Ennis,C,359
391,Joonas Donskoi,W,360
392,Ilya Mikheyev,W,361
393,Troy Terry,W,362
394,Lucas Raymond,W,364
395,Jordan Kyrou,C,365
396,Alex Formenton,W,366
397,Moritz Seider,D,367
398,Martin Frk,W,368
399,Nick Foligno,W,369
400,Sami Vatanen,D,371
401,Luke Kunin,C,373
402,Nolan Patrick,C,375
403,Eeli Tolvanen,W,377
404,Jack Quinn,C,378
405,Danton Heinen,C,379
406,Oskar Lindblom,W,380
407,Erik Johnson,D,381
408,Connor Brown,W,382
409,Will Butcher,D,383
410,Victor Soderstrom,D,384
411,Vladislav Namestnikov,C,386
412,Nicolas Aube-Kubel,W,387
413,Collin Delia,G,388
414,Phillip Tomasino,C,389
415,Corey Perry,W,398
416,Thomas Harley,D,399
